condition,objective,seed,category,error_rate_pct,errors,ref_count,insertions
objective,standard,seed123,matra,22.269,1362,6116,410
objective,standard,seed123,nasal,23.16,214,924,96
objective,standard,seed123,virama,29.584,242,818,82
objective,standard,seed123,nukta,22.134,56,253,30
objective,standard,seed123,aspirated,17.465,215,1231,46
objective,standard,seed123,retroflex,10.522,123,1169,84
objective,standard,seed123,indep_vowel,24.452,223,912,45
objective,standard,seed123,_overall,16.217,3469,21391,
objective,standard,seed1234,matra,22.319,1365,6116,403
objective,standard,seed1234,nasal,28.139,260,924,64
objective,standard,seed1234,virama,32.763,268,818,77
objective,standard,seed1234,nukta,14.625,37,253,43
objective,standard,seed1234,aspirated,15.76,194,1231,66
objective,standard,seed1234,retroflex,11.035,129,1169,79
objective,standard,seed1234,indep_vowel,21.272,194,912,50
objective,standard,seed1234,_overall,16.498,3529,21391,
objective,standard,seed2025,matra,22.531,1378,6116,437
objective,standard,seed2025,nasal,28.139,260,924,57
objective,standard,seed2025,virama,29.462,241,818,108
objective,standard,seed2025,nukta,13.043,33,253,42
objective,standard,seed2025,aspirated,14.622,180,1231,60
objective,standard,seed2025,retroflex,10.607,124,1169,95
objective,standard,seed2025,indep_vowel,23.465,214,912,47
objective,standard,seed2025,_overall,16.021,3427,21391,
objective,standard,seed42,matra,22.188,1357,6116,402
objective,standard,seed42,nasal,23.377,216,924,93
objective,standard,seed42,virama,30.196,247,818,83
objective,standard,seed42,nukta,5.929,15,253,49
objective,standard,seed42,aspirated,12.673,156,1231,62
objective,standard,seed42,retroflex,10.009,117,1169,98
objective,standard,seed42,indep_vowel,21.93,200,912,52
objective,standard,seed42,_overall,15.773,3374,21391,
objective,standard,seed777,matra,21.975,1344,6116,511
objective,standard,seed777,nasal,25.0,231,924,100
objective,standard,seed777,virama,25.55,209,818,119
objective,standard,seed777,nukta,8.696,22,253,59
objective,standard,seed777,aspirated,16.734,206,1231,50
objective,standard,seed777,retroflex,11.377,133,1169,98
objective,standard,seed777,indep_vowel,24.013,219,912,43
objective,standard,seed777,_overall,15.829,3386,21391,
