condition,objective,category,n_seeds,mean_pct,std_pct,pooled_pct
objective,standard,matra,5,22.256,0.202,22.256
objective,standard,indep_vowel,5,23.026,1.367,23.026
objective,standard,virama,5,29.511,2.586,29.511
objective,standard,nasal,5,25.563,2.456,25.563
objective,standard,aspirated,5,15.451,1.885,15.451
objective,standard,retroflex,5,10.71,0.522,10.71
objective,standard,nukta,5,12.885,6.216,12.885
objective,standard,_overall,5,16.068,0.297,16.068
objective,focal,matra,5,22.776,0.547,22.776
objective,focal,indep_vowel,5,23.268,1.653,23.268
objective,focal,virama,5,32.396,3.592,32.396
objective,focal,nasal,5,26.775,1.268,26.775
objective,focal,aspirated,5,14.72,1.046,14.72
objective,focal,retroflex,5,10.83,0.43,10.83
objective,focal,nukta,5,17.628,8.494,17.628
objective,focal,_overall,5,16.693,0.573,16.693
objective,matra,matra,5,22.309,0.765,22.309
objective,matra,indep_vowel,5,22.654,1.349,22.654
objective,matra,virama,5,29.56,1.947,29.56
objective,matra,nasal,5,26.169,2.117,26.169
objective,matra,aspirated,5,15.158,0.938,15.158
objective,matra,retroflex,5,10.47,0.627,10.47
objective,matra,nukta,5,18.735,6.968,18.735
objective,matra,_overall,5,16.253,0.436,16.253
noaug,standard,matra,5,22.629,0.93,22.629
noaug,standard,indep_vowel,5,24.32,0.854,24.32
noaug,standard,virama,5,30.342,2.675,30.342
noaug,standard,nasal,5,25.931,1.167,25.931
noaug,standard,aspirated,5,14.736,0.522,14.736
noaug,standard,retroflex,5,11.737,0.478,11.737
noaug,standard,nukta,5,19.289,5.254,19.289
noaug,standard,_overall,5,16.851,0.465,16.851
noaug,focal,matra,5,23.156,1.647,23.156
noaug,focal,indep_vowel,5,24.408,1.162,24.408
noaug,focal,virama,5,29.902,2.701,29.902
noaug,focal,nasal,5,26.385,1.204,26.385
noaug,focal,aspirated,5,16.084,1.029,16.084
noaug,focal,retroflex,5,11.565,0.806,11.565
noaug,focal,nukta,5,22.055,4.771,22.055
noaug,focal,_overall,5,17.244,1.256,17.244
noaug,matra,matra,5,22.776,0.902,22.776
noaug,matra,indep_vowel,5,24.013,1.158,24.013
noaug,matra,virama,5,31.32,1.171,31.32
noaug,matra,nasal,5,27.944,2.685,27.944
noaug,matra,aspirated,5,14.411,1.874,14.411
noaug,matra,retroflex,5,11.685,0.371,11.685
noaug,matra,nukta,5,19.209,5.074,19.209
noaug,matra,_overall,5,16.975,0.629,16.975
