system,group,seed,wer,cer,matra_er,asp_er,ret_er,n_test,vocab,aug,smoke,best_val_wer
ablation_cer/standard,ablation_cer,123,48.079800498753116,17.30084557187361,22.302158273381295,16.328188464662876,10.008554319931566,450,66,,False,
ablation_cer/standard,ablation_cer,1234,48.29592684954281,17.237798546209763,21.648136036625246,13.403736799350122,10.778443113772456,450,66,,False,
ablation_cer/standard,ablation_cer,2025,47.06566916043226,17.048657469218217,22.939829954218443,14.865962632006498,10.436270316509837,450,66,,False,
ablation_cer/standard,ablation_cer,42,46.51704073150457,16.73713098946744,21.46827992151733,14.053614947197401,10.008554319931566,450,66,,False,
ablation_cer/standard,ablation_cer,777,47.83042394014962,17.163625574840527,23.31589274035317,14.62225832656377,13.17365269461078,450,66,,False,
baseline/hubert,baseline,123,60.332502078137985,22.708055184690696,,,,450,66,True,,0.6534624123283611
baseline/hubert,baseline,1234,61.04738154613466,22.71176383325916,,,,450,66,True,,0.6572162402449867
baseline/hubert,baseline,2025,60.73150457190357,22.83044058744993,,,,450,66,True,,0.6612664229971352
baseline/hubert,baseline,42,61.49625935162095,22.97507788161994,,,,450,66,True,,0.6601797886002173
baseline/hubert,baseline,777,67.11554447215295,25.560005933837708,,,,450,66,True,,0.7249827126345945
baseline/mms,baseline,123,48.82793017456359,17.79780448004747,,,,450,66,True,,0.5416378543909908
baseline/mms,baseline,1234,49.39318370739817,17.834890965732086,,,,450,66,True,,0.5395633705423294
baseline/mms,baseline,2025,49.193682460515376,18.035157988429017,,,,450,66,True,,0.5445026178010471
baseline/mms,baseline,42,49.29343308395677,17.894229342827472,,,,450,66,True,,0.5433171984589549
baseline/mms,baseline,777,48.17955112219451,17.538199080255154,,,,450,66,True,,0.546972241430406
baseline/whisper,baseline,123,70.19910083493899,38.841002991879186,,,,,,,,
baseline/whisper,baseline,42,65.89595375722543,39.68514033338082,,,,,,,,
baseline/whisper,baseline,777,62.957610789980734,29.965094742840858,,,,,,,,
baseline/xlsr300m,baseline,123,50.07481296758105,18.58403797656134,,,,450,66,True,,0.5646547466166156
baseline/xlsr300m,baseline,1234,50.00831255195345,18.461652573802105,,,,450,66,True,,0.5602094240837696
baseline/xlsr300m,baseline,2025,50.25768911055694,18.687880136478267,,,,450,66,True,,0.5641608218907439
baseline/xlsr300m,baseline,42,50.656691604322525,18.71013202788904,,,,450,66,True,,0.566432875629754
baseline/xlsr300m,baseline,777,50.14131338320864,18.55807743658211,,,,450,66,True,,0.5652474562876617
baseline/xlsr53,baseline,123,100.0,98.44978489838303,,,,450,66,True,,1.0
baseline/xlsr53,baseline,1234,100.0,100.0,,,,450,66,True,,1.0
baseline/xlsr53,baseline,2025,100.0,100.0,,,,450,66,True,,1.0
baseline/xlsr53,baseline,42,93.16708229426433,44.91173416407061,,,,450,66,True,,0.943001086634397
baseline/xlsr53,baseline,777,100.0,100.0,,,,450,66,True,,1.0
noaug/focal,noaug,123,49.193682460515376,17.964693665628246,22.956180510137344,16.084484159220146,11.46278870829769,450,66,,False,0.5454904672527907
noaug/focal,noaug,1234,47.79717373233583,17.434356920338228,21.71353826030085,14.45978878960195,11.206159110350727,450,66,,False,0.5310678652573347
noaug/focal,noaug,2025,49.542809642560265,18.346684468179795,24.21517331589274,16.165718927701057,11.46278870829769,450,66,,False,0.5484540156080213
noaug/focal,noaug,42,48.462177888611805,17.549325025960542,21.517331589274036,16.409423233143787,10.778443113772456,450,66,,False,0.5284994566828015
noaug/focal,noaug,777,50.88944305901912,19.04391039905059,25.376062786134728,17.303005686433796,12.917023096663815,450,66,,False,0.5582337251802825
noaug/matra,noaug,123,48.728179551122196,17.690253671562083,22.204054937867888,14.865962632006498,11.633875106928999,450,66,,False,0.5358095426257038
noaug/matra,noaug,1234,49.02743142144638,17.575285565939772,21.942446043165468,12.103980503655565,12.147134302822927,450,66,,False,0.5339326286673911
noaug/matra,noaug,2025,49.22693266832918,17.649458537309005,22.318508829300196,13.64744110479285,11.804961505560307,450,66,,False,0.5432184135137805
noaug/matra,noaug,42,49.193682460515376,17.97581961133363,24.08436886854153,14.21608448415922,11.719418306244654,450,66,,False,0.5371925318581449
noaug/matra,noaug,777,48.844555278470494,18.10933095979825,23.332243296272072,17.221770917952885,11.120615911035072,450,66,,False,0.5410451447199447
noaug/standard,noaug,123,49.276807980049874,18.16125203975671,23.234139960758665,14.21608448415922,12.403763900769889,450,66,,False,0.5426257038427343
noaug/standard,noaug,1234,47.76392352452203,17.39727043465361,21.370176586003925,14.21608448415922,11.291702309666382,450,66,,False,0.5286970265731502
noaug/standard,noaug,2025,48.3624272651704,17.73846610295208,22.49836494440811,14.947197400487408,11.548331907613345,450,66,,False,0.5407487898844217
noaug/standard,noaug,42,47.49792186201164,17.30455422044207,23.79005886200131,15.434606011372868,11.377245508982035,450,66,,False,0.5287958115183246
noaug/standard,noaug,777,47.614297589359936,17.530781783118233,22.25310660562459,14.865962632006498,12.061591103507272,450,66,,False,0.529190951299022
objective/focal,objective,123,48.395677472984204,17.664293131582852,23.577501635055594,16.165718927701057,10.949529512403764,450,66,,False,0.5292897362441964
