system,n_seeds,wer_mean,wer_std,cer_mean,cer_std,matra_er_mean,vocab,n_test,single_seed,smoke,outliers
ablation_cer/standard,5,47.557772236076474,0.7444817314440649,17.09761163032191,0.22229319016555107,22.334859385219097,66,450,False,False,
baseline/hubert,5,62.14463840399003,2.8113635676047175,23.357068684171487,1.2363073570695116,,66,450,False,False,
baseline/mms,5,48.97755610972568,0.49457937757750753,17.820056371458243,0.18161021431086352,,66,450,False,False,
baseline/whisper,3,66.35088846071505,3.642117338326261,36.16374602270029,5.384756283232008,,,,False,False,
baseline/xlsr300m,5,50.22776392352453,0.25685651028494066,18.600356030262574,0.1012467851563898,,66,450,False,False,
baseline/xlsr53,5,98.63341645885286,3.0557736949373715,88.67230381249072,24.472110120955783,,66,450,False,False,
noaug/focal,5,49.17705735660847,1.17062455476535,18.06779409583148,0.6540767171396099,23.15565729234794,66,450,False,False,
noaug/matra,5,49.004156275976726,0.2166372885022349,17.800029669188547,0.23010961490541154,22.77632439502943,66,450,False,False,
noaug/standard,5,48.10307564422277,0.7357054619193328,17.626464916184542,0.3405339196493321,22.62916939175932,66,450,False,False,
objective/focal,5,47.833748960931004,0.6802491959525042,17.35499184097315,0.29504857542718144,22.776324395029434,66,450,False,False,
objective/matra,5,47.41812136325852,0.7838873123526607,17.222963951935917,0.3767154597843189,22.308698495748853,66,450,False,False,
objective/standard,5,47.02244389027432,0.6072829824973327,16.990060821836522,0.2118706491724289,22.256376716808372,66,450,False,False,
tts/tts_aug,1,46.98254364089776,0.0,16.870642337932058,0.0,,66,450,True,False,
